codigo_boya,nombre_boya,tipo_boya,fecha,Hs_media_diaria_m,Hs_maxima_diaria_m,observaciones_diarias
1103,Bilbao costera,Costera,2005-01-01,1.81,2.04,19
1103,Bilbao costera,Costera,2005-01-02,2.0,2.83,12
1103,Bilbao costera,Costera,2005-01-03,2.73,3.52,21
1103,Bilbao costera,Costera,2005-01-04,1.58,2.18,20
1103,Bilbao costera,Costera,2005-01-05,1.67,1.91,23
1103,Bilbao costera,Costera,2005-01-06,2.66,3.17,24
1103,Bilbao costera,Costera,2005-01-07,2.14,2.55,19
1103,Bilbao costera,Costera,2005-01-08,2.21,2.8,21
1103,Bilbao costera,Costera,2005-01-09,2.15,2.41,18
1103,Bilbao costera,Costera,2005-01-10,1.79,2.25,14
1103,Bilbao costera,Costera,2005-01-11,1.72,1.98,12
1103,Bilbao costera,Costera,2005-01-12,2.34,3.58,18
1103,Bilbao costera,Costera,2005-01-13,2.48,3.17,21
1103,Bilbao costera,Costera,2005-01-14,1.51,1.72,7
1103,Bilbao costera,Costera,2005-01-15,,,0
1103,Bilbao costera,Costera,2005-01-16,,,0
1103,Bilbao costera,Costera,2005-01-17,,,0
1103,Bilbao costera,Costera,2005-01-18,,,0
1103,Bilbao costera,Costera,2005-01-19,,,0
1103,Bilbao costera,Costera,2005-01-20,,,0
1103,Bilbao costera,Costera,2005-01-21,,,0
1103,Bilbao costera,Costera,2005-01-22,,,0
1103,Bilbao costera,Costera,2005-01-23,,,0
1103,Bilbao costera,Costera,2005-01-24,,,0
1103,Bilbao costera,Costera,2005-01-25,,,0
1103,Bilbao costera,Costera,2005-01-26,,,0
1103,Bilbao costera,Costera,2005-01-27,,,0
1103,Bilbao costera,Costera,2005-01-28,,,0
1103,Bilbao costera,Costera,2005-01-29,,,0
1103,Bilbao costera,Costera,2005-01-30,,,0
1103,Bilbao costera,Costera,2005-01-31,,,0
1103,Bilbao costera,Costera,2005-02-01,,,0
1103,Bilbao costera,Costera,2005-02-02,,,0
1103,Bilbao costera,Costera,2005-02-03,0.96,1.24,14
1103,Bilbao costera,Costera,2005-02-04,1.14,1.74,23
1103,Bilbao costera,Costera,2005-02-05,1.05,1.18,24
1103,Bilbao costera,Costera,2005-02-06,1.55,1.89,24
1103,Bilbao costera,Costera,2005-02-07,1.5,1.85,24
1103,Bilbao costera,Costera,2005-02-08,0.84,1.1,24
1103,Bilbao costera,Costera,2005-02-09,1.91,2.6,23
1103,Bilbao costera,Costera,2005-02-10,2.26,2.54,24
1103,Bilbao costera,Costera,2005-02-11,2.74,3.43,24
1103,Bilbao costera,Costera,2005-02-12,2.7,3.21,24
1103,Bilbao costera,Costera,2005-02-13,3.39,5.63,24
1103,Bilbao costera,Costera,2005-02-14,3.98,4.86,24
1103,Bilbao costera,Costera,2005-02-15,2.94,3.33,24
1103,Bilbao costera,Costera,2005-02-16,2.33,2.9,24
1103,Bilbao costera,Costera,2005-02-17,1.67,2.11,24
1103,Bilbao costera,Costera,2005-02-18,1.24,1.51,24
1103,Bilbao costera,Costera,2005-02-19,2.02,2.51,21
1103,Bilbao costera,Costera,2005-02-20,2.26,2.45,24
1103,Bilbao costera,Costera,2005-02-21,1.69,2.02,24
1103,Bilbao costera,Costera,2005-02-22,1.0,1.22,24
1103,Bilbao costera,Costera,2005-02-23,0.91,1.09,24
1103,Bilbao costera,Costera,2005-02-24,0.64,0.88,24
1103,Bilbao costera,Costera,2005-02-25,0.95,2.05,23
1103,Bilbao costera,Costera,2005-02-26,1.45,2.18,24
1103,Bilbao costera,Costera,2005-02-27,1.35,2.4,24
1103,Bilbao costera,Costera,2005-02-28,2.27,3.01,24
1103,Bilbao costera,Costera,2005-03-01,0.97,1.68,24
1103,Bilbao costera,Costera,2005-03-02,0.65,2.54,24
1103,Bilbao costera,Costera,2005-03-03,2.06,3.11,24
1103,Bilbao costera,Costera,2005-03-04,2.31,3.04,24
1103,Bilbao costera,Costera,2005-03-05,2.39,3.02,24
1103,Bilbao costera,Costera,2005-03-06,2.32,2.78,24
1103,Bilbao costera,Costera,2005-03-07,1.5,2.46,24
1103,Bilbao costera,Costera,2005-03-08,0.61,0.77,24
1103,Bilbao costera,Costera,2005-03-09,0.58,0.79,24
1103,Bilbao costera,Costera,2005-03-10,0.53,0.65,24
1103,Bilbao costera,Costera,2005-03-11,0.55,0.72,24
1103,Bilbao costera,Costera,2005-03-12,0.46,0.6,24
1103,Bilbao costera,Costera,2005-03-13,0.62,0.75,23
1103,Bilbao costera,Costera,2005-03-14,0.88,1.18,24
1103,Bilbao costera,Costera,2005-03-15,1.14,1.41,23
1103,Bilbao costera,Costera,2005-03-16,1.13,1.28,23
1103,Bilbao costera,Costera,2005-03-17,1.4,1.59,24
1103,Bilbao costera,Costera,2005-03-18,1.24,1.46,24
1103,Bilbao costera,Costera,2005-03-19,0.83,1.04,24
1103,Bilbao costera,Costera,2005-03-20,0.54,0.62,24
1103,Bilbao costera,Costera,2005-03-21,0.54,0.77,23
1103,Bilbao costera,Costera,2005-03-22,0.82,1.02,24
1103,Bilbao costera,Costera,2005-03-23,0.69,0.79,24
1103,Bilbao costera,Costera,2005-03-24,0.73,0.9,24
1103,Bilbao costera,Costera,2005-03-25,0.94,1.07,23
1103,Bilbao costera,Costera,2005-03-26,0.61,0.77,23
1103,Bilbao costera,Costera,2005-03-27,1.05,1.92,24
1103,Bilbao costera,Costera,2005-03-28,0.99,1.43,23
1103,Bilbao costera,Costera,2005-03-29,1.06,1.58,24
1103,Bilbao costera,Costera,2005-03-30,1.17,1.69,24
1103,Bilbao costera,Costera,2005-03-31,0.81,1.03,22
1103,Bilbao costera,Costera,2005-04-01,0.81,1.02,21
1103,Bilbao costera,Costera,2005-04-02,0.36,0.49,24
1103,Bilbao costera,Costera,2005-04-03,0.47,0.84,23
1103,Bilbao costera,Costera,2005-04-04,1.23,1.56,24
1103,Bilbao costera,Costera,2005-04-05,1.52,1.65,24
1103,Bilbao costera,Costera,2005-04-06,1.26,1.7,24
1103,Bilbao costera,Costera,2005-04-07,1.07,1.43,23
1103,Bilbao costera,Costera,2005-04-08,3.36,4.2,24
1103,Bilbao costera,Costera,2005-04-09,3.12,4.02,24
1103,Bilbao costera,Costera,2005-04-10,1.6,2.0,24
1103,Bilbao costera,Costera,2005-04-11,1.43,1.58,24
1103,Bilbao costera,Costera,2005-04-12,1.44,1.66,24
1103,Bilbao costera,Costera,2005-04-13,1.15,1.38,21
1103,Bilbao costera,Costera,2005-04-14,1.16,1.66,24
1103,Bilbao costera,Costera,2005-04-15,2.39,2.78,23
1103,Bilbao costera,Costera,2005-04-16,2.84,3.77,24
1103,Bilbao costera,Costera,2005-04-17,1.1,1.6,21
1103,Bilbao costera,Costera,2005-04-18,1.43,2.16,24
1103,Bilbao costera,Costera,2005-04-19,2.15,2.69,24
1103,Bilbao costera,Costera,2005-04-20,1.59,1.97,24
1103,Bilbao costera,Costera,2005-04-21,1.08,1.47,22
1103,Bilbao costera,Costera,2005-04-22,0.87,1.12,24
1103,Bilbao costera,Costera,2005-04-23,1.01,1.39,23
1103,Bilbao costera,Costera,2005-04-24,1.29,1.45,23
1103,Bilbao costera,Costera,2005-04-25,1.56,2.15,24
1103,Bilbao costera,Costera,2005-04-26,0.69,0.84,23
1103,Bilbao costera,Costera,2005-04-27,0.92,1.38,24
1103,Bilbao costera,Costera,2005-04-28,1.15,1.36,24
1103,Bilbao costera,Costera,2005-04-29,0.97,1.16,23
1103,Bilbao costera,Costera,2005-04-30,0.86,1.11,23
1103,Bilbao costera,Costera,2005-05-01,0.62,0.74,23
1103,Bilbao costera,Costera,2005-05-02,0.69,1.15,23
1103,Bilbao costera,Costera,2005-05-03,0.71,1.1,23
1103,Bilbao costera,Costera,2005-05-04,0.71,0.89,23
1103,Bilbao costera,Costera,2005-05-05,1.31,1.52,24
1103,Bilbao costera,Costera,2005-05-06,0.97,1.22,24
1103,Bilbao costera,Costera,2005-05-07,1.01,1.22,24
1103,Bilbao costera,Costera,2005-05-08,0.98,1.19,24
1103,Bilbao costera,Costera,2005-05-09,1.0,1.22,23
1103,Bilbao costera,Costera,2005-05-10,0.99,1.16,24
1103,Bilbao costera,Costera,2005-05-11,0.97,1.13,24
1103,Bilbao costera,Costera,2005-05-12,0.67,0.87,23
1103,Bilbao costera,Costera,2005-05-13,0.48,0.67,23
1103,Bilbao costera,Costera,2005-05-14,0.66,1.06,23
1103,Bilbao costera,Costera,2005-05-15,0.96,1.33,23
1103,Bilbao costera,Costera,2005-05-16,0.91,1.4,22
1103,Bilbao costera,Costera,2005-05-17,1.7,2.07,24
1103,Bilbao costera,Costera,2005-05-18,0.76,1.03,24
