codigo_boya,nombre_boya,tipo_boya,mes,nombre_mes,registros,Hs_media_m,Hs_mediana_m,Hs_desviacion_m,Hs_p90_m,Hs_p95_m,Hs_p99_m,Hs_maxima_m
1103,Bilbao costera,Costera,1,Ene,9698,1.91,1.72,1.03,3.41,3.99,4.88,7.0
1103,Bilbao costera,Costera,2,Feb,10207,1.84,1.64,0.96,3.11,3.68,4.78,6.19
1103,Bilbao costera,Costera,3,Mar,11974,1.6,1.4,0.88,2.76,3.24,4.4,8.19
1103,Bilbao costera,Costera,4,Abr,11481,1.26,1.12,0.65,2.08,2.53,3.45,5.91
1103,Bilbao costera,Costera,5,May,12068,1.15,1.03,0.6,1.92,2.28,3.14,5.77
1103,Bilbao costera,Costera,6,Jun,11976,1.0,0.92,0.46,1.6,1.89,2.6,4.13
1103,Bilbao costera,Costera,7,Jul,12360,1.02,0.93,0.43,1.57,1.84,2.47,3.53
1103,Bilbao costera,Costera,8,Ago,12822,1.09,0.96,0.5,1.76,2.04,2.71,4.28
1103,Bilbao costera,Costera,9,Sep,12203,1.24,1.15,0.59,2.01,2.4,3.04,5.58
1103,Bilbao costera,Costera,10,Oct,12683,1.34,1.16,0.72,2.34,2.81,3.62,5.11
1103,Bilbao costera,Costera,11,Nov,12532,1.94,1.78,0.98,3.3,3.82,4.85,7.02
1103,Bilbao costera,Costera,12,Dic,10984,1.97,1.78,1.07,3.37,4.06,5.36,8.37
1117,Gijón costera,Costera,1,Ene,11401,2.14,1.93,1.03,3.55,4.17,5.44,8.98
1117,Gijón costera,Costera,2,Feb,10889,2.11,1.91,0.97,3.43,3.97,5.02,7.85
1117,Gijón costera,Costera,3,Mar,11933,1.88,1.69,0.87,3.08,3.49,4.49,7.26
1117,Gijón costera,Costera,4,Abr,12553,1.51,1.38,0.71,2.45,2.81,3.56,6.6
1117,Gijón costera,Costera,5,May,12985,1.31,1.21,0.62,2.13,2.5,3.29,5.61
1117,Gijón costera,Costera,6,Jun,12618,1.14,1.05,0.52,1.81,2.13,2.71,4.45
1117,Gijón costera,Costera,7,Jul,12323,1.13,1.05,0.47,1.72,2.02,2.63,4.48
1117,Gijón costera,Costera,8,Ago,13009,1.21,1.11,0.5,1.87,2.18,2.74,5.1
1117,Gijón costera,Costera,9,Sep,13510,1.42,1.34,0.62,2.26,2.59,3.29,5.03
1117,Gijón costera,Costera,10,Oct,14043,1.57,1.44,0.78,2.58,3.1,4.06,7.06
1117,Gijón costera,Costera,11,Nov,12736,2.15,1.98,1.02,3.49,4.06,5.33,7.94
1117,Gijón costera,Costera,12,Dic,12719,2.11,1.91,1.07,3.51,4.3,5.44,8.61
2136,Bilbao-Vizcaya,Exterior,1,Ene,13337,2.78,2.44,1.52,4.93,5.84,7.46,13.72
2136,Bilbao-Vizcaya,Exterior,2,Feb,11874,2.85,2.49,1.56,4.96,5.94,7.79,11.13
2136,Bilbao-Vizcaya,Exterior,3,Mar,12163,2.38,2.05,1.37,4.3,5.01,6.78,11.55
2136,Bilbao-Vizcaya,Exterior,4,Abr,13130,1.71,1.5,0.94,2.96,3.64,4.93,7.36
2136,Bilbao-Vizcaya,Exterior,5,May,13667,1.5,1.32,0.8,2.53,3.11,4.22,7.5
2136,Bilbao-Vizcaya,Exterior,6,Jun,14289,1.3,1.16,0.65,2.14,2.51,3.57,6.32
2136,Bilbao-Vizcaya,Exterior,7,Jul,14872,1.26,1.12,0.6,2.03,2.42,3.38,4.97
2136,Bilbao-Vizcaya,Exterior,8,Ago,14479,1.35,1.18,0.68,2.21,2.64,3.87,6.32
2136,Bilbao-Vizcaya,Exterior,9,Sep,14227,1.6,1.41,0.84,2.7,3.31,4.34,7.35
2136,Bilbao-Vizcaya,Exterior,10,Oct,14343,1.87,1.63,1.04,3.16,3.79,5.53,9.7
2136,Bilbao-Vizcaya,Exterior,11,Nov,13159,2.5,2.22,1.34,4.22,4.93,7.07,10.69
2136,Bilbao-Vizcaya,Exterior,12,Dic,13249,2.59,2.27,1.44,4.53,5.43,6.91,11.64
2242,Cabo de Peñas,Exterior,1,Ene,11727,2.8,2.42,1.42,4.8,5.62,7.12,10.74
2242,Cabo de Peñas,Exterior,2,Feb,10880,3.01,2.66,1.5,4.96,5.94,7.95,11.28
2242,Cabo de Peñas,Exterior,3,Mar,12254,2.43,2.18,1.18,4.05,4.63,6.03,11.72
2242,Cabo de Peñas,Exterior,4,Abr,13620,1.88,1.7,0.89,3.04,3.57,4.61,8.89
2242,Cabo de Peñas,Exterior,5,May,14802,1.63,1.47,0.77,2.65,3.15,4.15,6.78
2242,Cabo de Peñas,Exterior,6,Jun,14392,1.38,1.27,0.63,2.21,2.59,3.39,5.94
2242,Cabo de Peñas,Exterior,7,Jul,14855,1.34,1.23,0.58,2.1,2.45,3.3,5.6
2242,Cabo de Peñas,Exterior,8,Ago,14198,1.42,1.3,0.62,2.22,2.62,3.55,5.52
2242,Cabo de Peñas,Exterior,9,Sep,12263,1.67,1.52,0.76,2.69,3.17,3.97,6.15
2242,Cabo de Peñas,Exterior,10,Oct,11877,1.98,1.79,0.96,3.23,3.75,5.01,8.43
2242,Cabo de Peñas,Exterior,11,Nov,12492,2.64,2.45,1.23,4.22,4.85,6.34,9.32
2242,Cabo de Peñas,Exterior,12,Dic,12575,2.74,2.48,1.38,4.49,5.42,7.09,12.18
