codigo_boya,nombre_boya,fecha_anterior,fecha,diferencia_horas
1117,Gijón costera,2013-11-04 07:00:00,2015-06-24 09:00:00,14330.0
1103,Bilbao costera,2013-11-29 06:00:00,2014-10-23 16:00:00,7882.0
1103,Bilbao costera,2023-11-27 08:00:00,2024-05-30 10:00:00,4442.0
1103,Bilbao costera,2024-06-27 05:00:00,2024-12-01 00:00:00,3763.0
2242,Cabo de Peñas,2005-11-18 08:00:00,2006-03-17 13:00:00,2861.0
1103,Bilbao costera,2006-12-07 16:00:00,2007-03-26 10:00:00,2610.0
2242,Cabo de Peñas,2010-08-28 17:00:00,2010-12-04 10:00:00,2345.0
1103,Bilbao costera,2018-03-22 06:00:00,2018-06-06 11:00:00,1829.0
2242,Cabo de Peñas,2008-01-06 19:00:00,2008-03-16 20:00:00,1681.0
2136,Bilbao-Vizcaya,2009-01-24 08:00:00,2009-04-02 22:00:00,1646.0
