codigo_boya,nombre_boya,umbral,anio_inicio,numero_episodios,horas_totales_episodios,duracion_maxima_horas,Hs_maxima_m
1103,Bilbao costera,Hs ≥ 2 m,2005,124,1191,169,5.63
1103,Bilbao costera,Hs ≥ 2 m,2006,117,672,166,5.28
1103,Bilbao costera,Hs ≥ 2 m,2007,95,848,130,8.37
1103,Bilbao costera,Hs ≥ 2 m,2008,175,2308,131,8.19
1103,Bilbao costera,Hs ≥ 2 m,2009,114,1579,191,7.0
1103,Bilbao costera,Hs ≥ 2 m,2010,112,1129,69,6.39
1103,Bilbao costera,Hs ≥ 2 m,2011,165,1582,167,5.68
1103,Bilbao costera,Hs ≥ 2 m,2012,171,1718,122,5.91
1103,Bilbao costera,Hs ≥ 2 m,2013,134,1718,168,5.98
1103,Bilbao costera,Hs ≥ 2 m,2014,48,855,146,5.01
1103,Bilbao costera,Hs ≥ 2 m,2015,159,1532,224,5.99
1103,Bilbao costera,Hs ≥ 2 m,2016,171,1238,154,6.19
1103,Bilbao costera,Hs ≥ 2 m,2017,139,1783,213,6.24
1103,Bilbao costera,Hs ≥ 2 m,2018,104,1456,146,6.2
1103,Bilbao costera,Hs ≥ 2 m,2019,143,1966,186,6.94
1103,Bilbao costera,Hs ≥ 2 m,2020,129,1910,143,6.49
1103,Bilbao costera,Hs ≥ 2 m,2021,159,1337,112,6.02
1103,Bilbao costera,Hs ≥ 2 m,2022,101,1507,124,5.78
1103,Bilbao costera,Hs ≥ 2 m,2023,114,1160,145,7.02
1103,Bilbao costera,Hs ≥ 2 m,2024,30,224,73,6.38
1103,Bilbao costera,Hs ≥ 3 m,2005,43,280,43,5.63
1103,Bilbao costera,Hs ≥ 3 m,2006,36,161,51,5.28
1103,Bilbao costera,Hs ≥ 3 m,2007,28,226,62,8.37
1103,Bilbao costera,Hs ≥ 3 m,2008,95,619,74,8.19
1103,Bilbao costera,Hs ≥ 3 m,2009,53,610,99,7.0
1103,Bilbao costera,Hs ≥ 3 m,2010,48,281,59,6.39
1103,Bilbao costera,Hs ≥ 3 m,2011,44,300,100,5.68
1103,Bilbao costera,Hs ≥ 3 m,2012,68,424,38,5.91
1103,Bilbao costera,Hs ≥ 3 m,2013,84,584,55,5.98
1103,Bilbao costera,Hs ≥ 3 m,2014,32,189,37,5.01
1103,Bilbao costera,Hs ≥ 3 m,2015,43,474,50,5.99
1103,Bilbao costera,Hs ≥ 3 m,2016,76,380,73,6.19
1103,Bilbao costera,Hs ≥ 3 m,2017,73,479,49,6.24
1103,Bilbao costera,Hs ≥ 3 m,2018,62,426,69,6.2
1103,Bilbao costera,Hs ≥ 3 m,2019,66,716,77,6.94
1103,Bilbao costera,Hs ≥ 3 m,2020,62,710,81,6.49
1103,Bilbao costera,Hs ≥ 3 m,2021,36,347,81,6.02
1103,Bilbao costera,Hs ≥ 3 m,2022,71,422,75,5.78
1103,Bilbao costera,Hs ≥ 3 m,2023,39,352,91,7.02
1103,Bilbao costera,Hs ≥ 3 m,2024,4,106,59,6.38
1103,Bilbao costera,Hs ≥ 5 m,2005,1,2,2,5.63
1103,Bilbao costera,Hs ≥ 5 m,2006,1,1,1,5.28
1103,Bilbao costera,Hs ≥ 5 m,2007,9,33,24,8.37
1103,Bilbao costera,Hs ≥ 5 m,2008,11,42,18,8.19
1103,Bilbao costera,Hs ≥ 5 m,2009,16,61,23,7.0
1103,Bilbao costera,Hs ≥ 5 m,2010,3,12,10,6.39
1103,Bilbao costera,Hs ≥ 5 m,2011,5,16,8,5.68
1103,Bilbao costera,Hs ≥ 5 m,2012,2,10,5,5.91
1103,Bilbao costera,Hs ≥ 5 m,2013,3,33,29,5.98
1103,Bilbao costera,Hs ≥ 5 m,2014,1,1,1,5.01
1103,Bilbao costera,Hs ≥ 5 m,2015,3,22,19,5.99
1103,Bilbao costera,Hs ≥ 5 m,2016,5,16,7,6.19
1103,Bilbao costera,Hs ≥ 5 m,2017,10,40,12,6.24
1103,Bilbao costera,Hs ≥ 5 m,2018,5,22,17,6.2
1103,Bilbao costera,Hs ≥ 5 m,2019,13,59,12,6.94
1103,Bilbao costera,Hs ≥ 5 m,2020,13,51,23,6.49
1103,Bilbao costera,Hs ≥ 5 m,2021,6,22,13,6.02
1103,Bilbao costera,Hs ≥ 5 m,2022,7,11,5,5.78
1103,Bilbao costera,Hs ≥ 5 m,2023,4,17,7,7.02
1103,Bilbao costera,Hs ≥ 5 m,2024,4,48,32,6.38
1117,Gijón costera,Hs ≥ 2 m,2005,155,1881,114,8.98
1117,Gijón costera,Hs ≥ 2 m,2006,104,1723,207,7.49
1117,Gijón costera,Hs ≥ 2 m,2007,166,2083,152,8.61
1117,Gijón costera,Hs ≥ 2 m,2008,164,2356,193,6.79
1117,Gijón costera,Hs ≥ 2 m,2009,165,2242,266,7.99
1117,Gijón costera,Hs ≥ 2 m,2010,171,1800,134,7.94
1117,Gijón costera,Hs ≥ 2 m,2011,269,2663,157,6.84
1117,Gijón costera,Hs ≥ 2 m,2012,188,2121,90,6.6
1117,Gijón costera,Hs ≥ 2 m,2013,94,1155,78,7.06
1117,Gijón costera,Hs ≥ 2 m,2015,123,1040,97,4.23
1117,Gijón costera,Hs ≥ 2 m,2016,134,1915,186,5.56
1117,Gijón costera,Hs ≥ 2 m,2017,179,2301,229,6.48
1117,Gijón costera,Hs ≥ 2 m,2018,181,2454,167,7.08
1117,Gijón costera,Hs ≥ 2 m,2019,166,2450,346,7.39
1117,Gijón costera,Hs ≥ 2 m,2020,195,2707,149,6.95
1117,Gijón costera,Hs ≥ 2 m,2021,211,2165,115,6.09
1117,Gijón costera,Hs ≥ 2 m,2022,191,2304,222,5.1
1117,Gijón costera,Hs ≥ 2 m,2023,165,2230,148,5.92
1117,Gijón costera,Hs ≥ 2 m,2024,180,1780,158,6.63
1117,Gijón costera,Hs ≥ 3 m,2005,85,604,55,8.98
1117,Gijón costera,Hs ≥ 3 m,2006,78,586,68,7.49
1117,Gijón costera,Hs ≥ 3 m,2007,94,743,70,8.61
1117,Gijón costera,Hs ≥ 3 m,2008,113,747,64,6.79
1117,Gijón costera,Hs ≥ 3 m,2009,84,970,121,7.99
1117,Gijón costera,Hs ≥ 3 m,2010,62,520,62,7.94
1117,Gijón costera,Hs ≥ 3 m,2011,94,561,113,6.84
1117,Gijón costera,Hs ≥ 3 m,2012,76,521,47,6.6
1117,Gijón costera,Hs ≥ 3 m,2013,53,316,56,7.06
1117,Gijón costera,Hs ≥ 3 m,2015,28,159,34,4.23
1117,Gijón costera,Hs ≥ 3 m,2016,81,556,62,5.56
1117,Gijón costera,Hs ≥ 3 m,2017,86,662,54,6.48
1117,Gijón costera,Hs ≥ 3 m,2018,110,742,66,7.08
1117,Gijón costera,Hs ≥ 3 m,2019,114,891,86,7.39
1117,Gijón costera,Hs ≥ 3 m,2020,128,986,75,6.95
1117,Gijón costera,Hs ≥ 3 m,2021,58,406,94,6.09
1117,Gijón costera,Hs ≥ 3 m,2022,92,578,78,5.1
1117,Gijón costera,Hs ≥ 3 m,2023,74,664,96,5.92
1117,Gijón costera,Hs ≥ 3 m,2024,51,482,129,6.63
1117,Gijón costera,Hs ≥ 5 m,2005,13,59,13,8.98
1117,Gijón costera,Hs ≥ 5 m,2006,21,70,23,7.49
1117,Gijón costera,Hs ≥ 5 m,2007,14,95,28,8.61
1117,Gijón costera,Hs ≥ 5 m,2008,19,51,16,6.79
1117,Gijón costera,Hs ≥ 5 m,2009,45,215,25,7.99
1117,Gijón costera,Hs ≥ 5 m,2010,10,51,35,7.94
1117,Gijón costera,Hs ≥ 5 m,2011,17,56,20,6.84
1117,Gijón costera,Hs ≥ 5 m,2012,5,17,9,6.6
1117,Gijón costera,Hs ≥ 5 m,2013,4,11,5,7.06
1117,Gijón costera,Hs ≥ 5 m,2016,5,10,5,5.56
1117,Gijón costera,Hs ≥ 5 m,2017,8,24,10,6.48
1117,Gijón costera,Hs ≥ 5 m,2018,4,34,12,7.08
1117,Gijón costera,Hs ≥ 5 m,2019,14,41,11,7.39
1117,Gijón costera,Hs ≥ 5 m,2020,17,74,14,6.95
1117,Gijón costera,Hs ≥ 5 m,2021,10,21,9,6.09
1117,Gijón costera,Hs ≥ 5 m,2022,1,1,1,5.1
1117,Gijón costera,Hs ≥ 5 m,2023,10,38,12,5.92
1117,Gijón costera,Hs ≥ 5 m,2024,15,35,15,6.63
2136,Bilbao-Vizcaya,Hs ≥ 2 m,2005,187,2814,203,8.78
2136,Bilbao-Vizcaya,Hs ≥ 2 m,2006,193,2568,239,8.34
2136,Bilbao-Vizcaya,Hs ≥ 2 m,2007,163,3116,209,11.64
2136,Bilbao-Vizcaya,Hs ≥ 2 m,2008,169,3289,276,11.55
2136,Bilbao-Vizcaya,Hs ≥ 2 m,2009,112,2269,233,13.72
2136,Bilbao-Vizcaya,Hs ≥ 2 m,2010,165,2313,159,10.12
2136,Bilbao-Vizcaya,Hs ≥ 2 m,2011,197,3806,291,8.92
2136,Bilbao-Vizcaya,Hs ≥ 2 m,2012,161,2848,206,7.36
2136,Bilbao-Vizcaya,Hs ≥ 2 m,2013,148,3674,388,9.96
2136,Bilbao-Vizcaya,Hs ≥ 2 m,2014,155,3049,455,11.13
2136,Bilbao-Vizcaya,Hs ≥ 2 m,2015,167,3858,363,8.26
2136,Bilbao-Vizcaya,Hs ≥ 2 m,2016,148,2740,255,10.65
2136,Bilbao-Vizcaya,Hs ≥ 2 m,2017,122,2462,321,9.26
2136,Bilbao-Vizcaya,Hs ≥ 2 m,2018,147,2501,234,9.26
2136,Bilbao-Vizcaya,Hs ≥ 2 m,2019,117,2154,185,10.69
2136,Bilbao-Vizcaya,Hs ≥ 2 m,2020,151,3332,384,9.92
2136,Bilbao-Vizcaya,Hs ≥ 2 m,2021,146,3108,199,9.92
2136,Bilbao-Vizcaya,Hs ≥ 2 m,2022,221,2348,310,7.24
2136,Bilbao-Vizcaya,Hs ≥ 2 m,2023,201,3474,315,9.88
2136,Bilbao-Vizcaya,Hs ≥ 2 m,2024,182,2546,252,8.95
2136,Bilbao-Vizcaya,Hs ≥ 3 m,2005,116,1113,85,8.78
2136,Bilbao-Vizcaya,Hs ≥ 3 m,2006,104,1088,189,8.34
2136,Bilbao-Vizcaya,Hs ≥ 3 m,2007,117,1503,145,11.64
2136,Bilbao-Vizcaya,Hs ≥ 3 m,2008,126,1611,130,11.55
2136,Bilbao-Vizcaya,Hs ≥ 3 m,2009,84,1108,184,13.72
2136,Bilbao-Vizcaya,Hs ≥ 3 m,2010,89,748,46,10.12
2136,Bilbao-Vizcaya,Hs ≥ 3 m,2011,122,1299,158,8.92
2136,Bilbao-Vizcaya,Hs ≥ 3 m,2012,96,1184,114,7.36
2136,Bilbao-Vizcaya,Hs ≥ 3 m,2013,103,1874,271,9.15
2136,Bilbao-Vizcaya,Hs ≥ 3 m,2014,121,1709,176,11.13
2136,Bilbao-Vizcaya,Hs ≥ 3 m,2015,108,1597,223,8.26
2136,Bilbao-Vizcaya,Hs ≥ 3 m,2016,104,1621,111,10.65
2136,Bilbao-Vizcaya,Hs ≥ 3 m,2017,74,894,94,9.26
2136,Bilbao-Vizcaya,Hs ≥ 3 m,2018,76,1356,142,9.26
2136,Bilbao-Vizcaya,Hs ≥ 3 m,2019,71,1065,112,10.69
2136,Bilbao-Vizcaya,Hs ≥ 3 m,2020,113,1703,118,9.92
2136,Bilbao-Vizcaya,Hs ≥ 3 m,2021,121,1281,110,9.92
2136,Bilbao-Vizcaya,Hs ≥ 3 m,2022,133,1015,165,7.24
2136,Bilbao-Vizcaya,Hs ≥ 3 m,2023,88,1430,131,9.88
2136,Bilbao-Vizcaya,Hs ≥ 3 m,2024,108,1093,151,8.95
2136,Bilbao-Vizcaya,Hs ≥ 5 m,2005,19,96,36,8.78
2136,Bilbao-Vizcaya,Hs ≥ 5 m,2006,34,199,52,8.34
2136,Bilbao-Vizcaya,Hs ≥ 5 m,2007,42,314,42,11.64
2136,Bilbao-Vizcaya,Hs ≥ 5 m,2008,55,277,38,11.55
2136,Bilbao-Vizcaya,Hs ≥ 5 m,2009,26,309,93,13.72
2136,Bilbao-Vizcaya,Hs ≥ 5 m,2010,24,154,32,10.12
2136,Bilbao-Vizcaya,Hs ≥ 5 m,2011,33,202,70,8.92
2136,Bilbao-Vizcaya,Hs ≥ 5 m,2012,31,159,22,7.36
2136,Bilbao-Vizcaya,Hs ≥ 5 m,2013,54,437,62,9.15
2136,Bilbao-Vizcaya,Hs ≥ 5 m,2014,43,351,62,11.13
2136,Bilbao-Vizcaya,Hs ≥ 5 m,2015,35,239,38,8.26
2136,Bilbao-Vizcaya,Hs ≥ 5 m,2016,41,300,75,10.65
2136,Bilbao-Vizcaya,Hs ≥ 5 m,2017,24,176,42,9.26
2136,Bilbao-Vizcaya,Hs ≥ 5 m,2018,40,199,54,9.26
2136,Bilbao-Vizcaya,Hs ≥ 5 m,2019,19,190,32,10.69
2136,Bilbao-Vizcaya,Hs ≥ 5 m,2020,63,490,49,9.92
2136,Bilbao-Vizcaya,Hs ≥ 5 m,2021,23,225,72,9.92
2136,Bilbao-Vizcaya,Hs ≥ 5 m,2022,29,179,69,7.24
2136,Bilbao-Vizcaya,Hs ≥ 5 m,2023,36,361,45,9.88
2136,Bilbao-Vizcaya,Hs ≥ 5 m,2024,32,267,66,8.95
2242,Cabo de Peñas,Hs ≥ 2 m,2004,1,109,109,4.72
2242,Cabo de Peñas,Hs ≥ 2 m,2005,160,2567,223,9.61
2242,Cabo de Peñas,Hs ≥ 2 m,2006,145,2270,195,7.71
2242,Cabo de Peñas,Hs ≥ 2 m,2007,191,3414,226,12.18
2242,Cabo de Peñas,Hs ≥ 2 m,2008,162,2939,229,7.85
2242,Cabo de Peñas,Hs ≥ 2 m,2009,158,2707,247,10.1
2242,Cabo de Peñas,Hs ≥ 2 m,2010,113,1745,87,6.79
2242,Cabo de Peñas,Hs ≥ 2 m,2011,204,3789,283,7.67
2242,Cabo de Peñas,Hs ≥ 2 m,2012,214,3418,211,8.89
2242,Cabo de Peñas,Hs ≥ 2 m,2013,173,3842,651,8.46
2242,Cabo de Peñas,Hs ≥ 2 m,2014,137,3463,917,11.72
2242,Cabo de Peñas,Hs ≥ 2 m,2015,179,3830,475,10.17
2242,Cabo de Peñas,Hs ≥ 2 m,2016,133,2691,255,9.64
2242,Cabo de Peñas,Hs ≥ 2 m,2017,149,2963,308,9.09
2242,Cabo de Peñas,Hs ≥ 2 m,2018,177,3226,251,6.96
2242,Cabo de Peñas,Hs ≥ 2 m,2019,147,2945,367,9.32
2242,Cabo de Peñas,Hs ≥ 2 m,2020,139,3531,485,11.21
2242,Cabo de Peñas,Hs ≥ 2 m,2021,148,3291,183,7.95
2242,Cabo de Peñas,Hs ≥ 2 m,2022,171,3490,326,7.71
2242,Cabo de Peñas,Hs ≥ 2 m,2023,187,3009,326,7.98
2242,Cabo de Peñas,Hs ≥ 2 m,2024,160,2758,225,9.32
2242,Cabo de Peñas,Hs ≥ 3 m,2004,2,5,4,3.18
2242,Cabo de Peñas,Hs ≥ 3 m,2005,112,920,69,9.61
2242,Cabo de Peñas,Hs ≥ 3 m,2006,74,778,177,7.71
2242,Cabo de Peñas,Hs ≥ 3 m,2007,130,1449,109,12.18
2242,Cabo de Peñas,Hs ≥ 3 m,2008,82,1313,102,7.85
2242,Cabo de Peñas,Hs ≥ 3 m,2009,90,1063,182,10.1
2242,Cabo de Peñas,Hs ≥ 3 m,2010,42,459,53,6.79
2242,Cabo de Peñas,Hs ≥ 3 m,2011,144,1224,154,7.67
2242,Cabo de Peñas,Hs ≥ 3 m,2012,115,1282,117,8.89
2242,Cabo de Peñas,Hs ≥ 3 m,2013,125,2038,277,8.46
2242,Cabo de Peñas,Hs ≥ 3 m,2014,99,2011,216,11.72
2242,Cabo de Peñas,Hs ≥ 3 m,2015,140,1519,194,10.17
2242,Cabo de Peñas,Hs ≥ 3 m,2016,108,1610,144,9.64
2242,Cabo de Peñas,Hs ≥ 3 m,2017,87,986,70,9.09
2242,Cabo de Peñas,Hs ≥ 3 m,2018,125,1421,138,6.96
2242,Cabo de Peñas,Hs ≥ 3 m,2019,78,1468,176,9.32
2242,Cabo de Peñas,Hs ≥ 3 m,2020,114,1817,113,11.21
2242,Cabo de Peñas,Hs ≥ 3 m,2021,147,1312,155,7.95
2242,Cabo de Peñas,Hs ≥ 3 m,2022,129,1589,167,7.71
2242,Cabo de Peñas,Hs ≥ 3 m,2023,106,1090,115,7.98
2242,Cabo de Peñas,Hs ≥ 3 m,2024,95,1106,152,9.32
2242,Cabo de Peñas,Hs ≥ 5 m,2005,15,80,39,9.61
2242,Cabo de Peñas,Hs ≥ 5 m,2006,10,53,24,7.71
2242,Cabo de Peñas,Hs ≥ 5 m,2007,32,205,45,12.18
2242,Cabo de Peñas,Hs ≥ 5 m,2008,26,161,41,7.85
2242,Cabo de Peñas,Hs ≥ 5 m,2009,24,269,86,10.1
2242,Cabo de Peñas,Hs ≥ 5 m,2010,5,22,12,6.79
2242,Cabo de Peñas,Hs ≥ 5 m,2011,23,182,85,7.67
2242,Cabo de Peñas,Hs ≥ 5 m,2012,21,116,32,8.89
2242,Cabo de Peñas,Hs ≥ 5 m,2013,48,369,61,8.46
2242,Cabo de Peñas,Hs ≥ 5 m,2014,59,518,67,11.72
2242,Cabo de Peñas,Hs ≥ 5 m,2015,30,149,36,10.17
2242,Cabo de Peñas,Hs ≥ 5 m,2016,43,274,43,9.64
2242,Cabo de Peñas,Hs ≥ 5 m,2017,32,147,37,9.09
2242,Cabo de Peñas,Hs ≥ 5 m,2018,37,84,11,6.96
2242,Cabo de Peñas,Hs ≥ 5 m,2019,55,315,41,9.32
2242,Cabo de Peñas,Hs ≥ 5 m,2020,57,411,60,11.21
2242,Cabo de Peñas,Hs ≥ 5 m,2021,20,171,59,7.95
2242,Cabo de Peñas,Hs ≥ 5 m,2022,41,228,70,7.71
2242,Cabo de Peñas,Hs ≥ 5 m,2023,22,165,61,7.98
2242,Cabo de Peñas,Hs ≥ 5 m,2024,25,237,76,9.32
