codigo_boya,nombre_boya,umbral,mes_inicio,nombre_mes_inicio,numero_episodios,horas_totales_episodios,duracion_maxima_horas
1103,Bilbao costera,Hs ≥ 2 m,1,Ene,260,3727,224
1103,Bilbao costera,Hs ≥ 2 m,2,Feb,236,3692,169
1103,Bilbao costera,Hs ≥ 2 m,3,Mar,289,3253,131
1103,Bilbao costera,Hs ≥ 2 m,4,Abr,212,1364,56
1103,Bilbao costera,Hs ≥ 2 m,5,May,138,1025,82
1103,Bilbao costera,Hs ≥ 2 m,6,Jun,88,450,33
1103,Bilbao costera,Hs ≥ 2 m,7,Jul,82,382,39
1103,Bilbao costera,Hs ≥ 2 m,8,Ago,131,715,44
1103,Bilbao costera,Hs ≥ 2 m,9,Sep,170,1261,96
1103,Bilbao costera,Hs ≥ 2 m,10,Oct,194,2048,143
1103,Bilbao costera,Hs ≥ 2 m,11,Nov,413,5146,191
1103,Bilbao costera,Hs ≥ 2 m,12,Dic,291,4650,213
1103,Bilbao costera,Hs ≥ 3 m,1,Ene,134,1478,75
1103,Bilbao costera,Hs ≥ 3 m,2,Feb,166,1185,81
1103,Bilbao costera,Hs ≥ 3 m,3,Mar,125,837,74
1103,Bilbao costera,Hs ≥ 3 m,4,Abr,52,257,36
1103,Bilbao costera,Hs ≥ 3 m,5,May,36,162,21
1103,Bilbao costera,Hs ≥ 3 m,6,Jun,14,37,10
1103,Bilbao costera,Hs ≥ 3 m,7,Jul,8,19,10
1103,Bilbao costera,Hs ≥ 3 m,8,Ago,12,73,22
1103,Bilbao costera,Hs ≥ 3 m,9,Sep,30,134,36
1103,Bilbao costera,Hs ≥ 3 m,10,Oct,88,441,33
1103,Bilbao costera,Hs ≥ 3 m,11,Nov,218,1797,99
1103,Bilbao costera,Hs ≥ 3 m,12,Dic,180,1666,100
1103,Bilbao costera,Hs ≥ 5 m,1,Ene,24,79,19
1103,Bilbao costera,Hs ≥ 5 m,2,Feb,16,68,29
1103,Bilbao costera,Hs ≥ 5 m,3,Mar,12,53,18
1103,Bilbao costera,Hs ≥ 5 m,4,Abr,2,10,5
1103,Bilbao costera,Hs ≥ 5 m,5,May,3,4,2
1103,Bilbao costera,Hs ≥ 5 m,9,Sep,2,5,4
1103,Bilbao costera,Hs ≥ 5 m,10,Oct,3,3,1
1103,Bilbao costera,Hs ≥ 5 m,11,Nov,21,97,23
1103,Bilbao costera,Hs ≥ 5 m,12,Dic,39,200,32
1117,Gijón costera,Hs ≥ 2 m,1,Ene,383,5233,266
1117,Gijón costera,Hs ≥ 2 m,2,Feb,291,4946,222
1117,Gijón costera,Hs ≥ 2 m,3,Mar,324,4386,153
1117,Gijón costera,Hs ≥ 2 m,4,Abr,276,2790,90
1117,Gijón costera,Hs ≥ 2 m,5,May,210,1599,63
1117,Gijón costera,Hs ≥ 2 m,6,Jun,128,854,61
1117,Gijón costera,Hs ≥ 2 m,7,Jul,99,646,47
1117,Gijón costera,Hs ≥ 2 m,8,Ago,161,969,50
1117,Gijón costera,Hs ≥ 2 m,9,Sep,280,2206,72
1117,Gijón costera,Hs ≥ 2 m,10,Oct,338,3257,193
1117,Gijón costera,Hs ≥ 2 m,11,Nov,361,6367,346
1117,Gijón costera,Hs ≥ 2 m,12,Dic,350,6117,229
1117,Gijón costera,Hs ≥ 3 m,1,Ene,216,1935,121
1117,Gijón costera,Hs ≥ 3 m,2,Feb,223,1863,129
1117,Gijón costera,Hs ≥ 3 m,3,Mar,213,1324,55
1117,Gijón costera,Hs ≥ 3 m,4,Abr,97,435,43
1117,Gijón costera,Hs ≥ 3 m,5,May,54,236,27
1117,Gijón costera,Hs ≥ 3 m,6,Jun,10,80,20
1117,Gijón costera,Hs ≥ 3 m,7,Jul,19,37,7
1117,Gijón costera,Hs ≥ 3 m,8,Ago,18,72,17
1117,Gijón costera,Hs ≥ 3 m,9,Sep,72,279,39
1117,Gijón costera,Hs ≥ 3 m,10,Oct,113,825,56
1117,Gijón costera,Hs ≥ 3 m,11,Nov,263,2321,95
1117,Gijón costera,Hs ≥ 3 m,12,Dic,263,2287,98
1117,Gijón costera,Hs ≥ 5 m,1,Ene,46,201,23
1117,Gijón costera,Hs ≥ 5 m,2,Feb,37,117,23
1117,Gijón costera,Hs ≥ 5 m,3,Mar,14,67,19
1117,Gijón costera,Hs ≥ 5 m,4,Abr,5,17,9
1117,Gijón costera,Hs ≥ 5 m,5,May,2,5,3
1117,Gijón costera,Hs ≥ 5 m,8,Ago,1,2,2
1117,Gijón costera,Hs ≥ 5 m,9,Sep,1,1,1
1117,Gijón costera,Hs ≥ 5 m,10,Oct,11,34,10
1117,Gijón costera,Hs ≥ 5 m,11,Nov,50,205,35
1117,Gijón costera,Hs ≥ 5 m,12,Dic,65,254,28
2136,Bilbao-Vizcaya,Hs ≥ 2 m,1,Ene,275,8051,455
2136,Bilbao-Vizcaya,Hs ≥ 2 m,2,Feb,246,7430,384
2136,Bilbao-Vizcaya,Hs ≥ 2 m,3,Mar,295,6089,276
2136,Bilbao-Vizcaya,Hs ≥ 2 m,4,Abr,256,3643,126
2136,Bilbao-Vizcaya,Hs ≥ 2 m,5,May,225,2616,110
2136,Bilbao-Vizcaya,Hs ≥ 2 m,6,Jun,188,1808,80
2136,Bilbao-Vizcaya,Hs ≥ 2 m,7,Jul,175,1555,93
