codigo_boya,nombre_boya,tipo_boya,umbral,umbral_hs_m,numero_episodios,duracion_media_horas,duracion_mediana_horas,duracion_maxima_horas,Hs_maxima_episodio_m
1103,Bilbao costera,Costera,Hs ≥ 2 m,2.0,2504,11.07,2.0,224,8.37
1103,Bilbao costera,Costera,Hs ≥ 3 m,3.0,1063,7.61,2.0,100,8.37
1103,Bilbao costera,Costera,Hs ≥ 5 m,5.0,122,4.25,1.0,32,8.37
1117,Gijón costera,Costera,Hs ≥ 2 m,2.0,3201,12.3,2.0,346,8.98
1117,Gijón costera,Costera,Hs ≥ 3 m,3.0,1561,7.49,2.0,129,8.98
1117,Gijón costera,Costera,Hs ≥ 5 m,5.0,232,3.89,2.0,35,8.98
2136,Bilbao-Vizcaya,Exterior,Hs ≥ 2 m,2.0,3252,17.92,3.0,455,13.72
2136,Bilbao-Vizcaya,Exterior,Hs ≥ 3 m,3.0,2074,12.68,2.0,271,13.72
2136,Bilbao-Vizcaya,Exterior,Hs ≥ 5 m,5.0,703,7.29,2.0,93,13.72
2242,Cabo de Peñas,Exterior,Hs ≥ 2 m,2.0,3248,19.09,3.0,917,12.18
2242,Cabo de Peñas,Exterior,Hs ≥ 3 m,3.0,2144,12.34,3.0,277,12.18
2242,Cabo de Peñas,Exterior,Hs ≥ 5 m,5.0,625,6.65,2.0,86,12.18
