codigo_boya,nombre_boya,tipo_boya,sector_direccion_media,observaciones,total_boya,frecuencia_pct
1103.0,Bilbao costera,Costera,N,28109,134118,20.96
1103.0,Bilbao costera,Costera,NE,2375,134118,1.77
1103.0,Bilbao costera,Costera,E,172,134118,0.13
1103.0,Bilbao costera,Costera,SE,161,134118,0.12
1103.0,Bilbao costera,Costera,S,237,134118,0.18
1103.0,Bilbao costera,Costera,SO,354,134118,0.26
1103.0,Bilbao costera,Costera,O,846,134118,0.63
1103.0,Bilbao costera,Costera,NO,101864,134118,75.95
1117.0,Gijón costera,Costera,N,46799,150714,31.05
1117.0,Gijón costera,Costera,NE,15952,150714,10.58
1117.0,Gijón costera,Costera,E,1164,150714,0.77
1117.0,Gijón costera,Costera,SE,6,150714,0.0
1117.0,Gijón costera,Costera,S,6,150714,0.0
1117.0,Gijón costera,Costera,SO,9,150714,0.01
1117.0,Gijón costera,Costera,O,52,150714,0.03
1117.0,Gijón costera,Costera,NO,86726,150714,57.54
2136.0,Bilbao-Vizcaya,Exterior,N,18006,160596,11.21
2136.0,Bilbao-Vizcaya,Exterior,NE,4145,160596,2.58
2136.0,Bilbao-Vizcaya,Exterior,E,1121,160596,0.7
2136.0,Bilbao-Vizcaya,Exterior,SE,545,160596,0.34
2136.0,Bilbao-Vizcaya,Exterior,S,708,160596,0.44
2136.0,Bilbao-Vizcaya,Exterior,SO,1263,160596,0.79
2136.0,Bilbao-Vizcaya,Exterior,O,20862,160596,12.99
2136.0,Bilbao-Vizcaya,Exterior,NO,113946,160596,70.95
2242.0,Cabo de Peñas,Exterior,N,14292,78253,18.26
2242.0,Cabo de Peñas,Exterior,NE,7542,78253,9.64
2242.0,Cabo de Peñas,Exterior,E,1280,78253,1.64
2242.0,Cabo de Peñas,Exterior,SE,1,78253,0.0
2242.0,Cabo de Peñas,Exterior,S,2,78253,0.0
2242.0,Cabo de Peñas,Exterior,SO,5,78253,0.01
2242.0,Cabo de Peñas,Exterior,O,3340,78253,4.27
2242.0,Cabo de Peñas,Exterior,NO,51791,78253,66.18
