codigo_boya,nombre_boya,tipo_boya,sector_direccion_media,observaciones,Hs_p95_m
1103.0,Bilbao costera,Costera,N,28109,2.45
1103.0,Bilbao costera,Costera,NE,2375,1.53
1103.0,Bilbao costera,Costera,E,172,0.81
1103.0,Bilbao costera,Costera,SE,161,0.81
1103.0,Bilbao costera,Costera,S,237,0.96
1103.0,Bilbao costera,Costera,SO,354,1.06
1103.0,Bilbao costera,Costera,O,846,1.37
1103.0,Bilbao costera,Costera,NO,101864,3.25
1117.0,Gijón costera,Costera,N,46799,3.4
1117.0,Gijón costera,Costera,NE,15952,2.52
1117.0,Gijón costera,Costera,E,1164,2.46
1117.0,Gijón costera,Costera,SE,6,0.8
1117.0,Gijón costera,Costera,S,6,0.99
1117.0,Gijón costera,Costera,SO,9,1.21
1117.0,Gijón costera,Costera,O,52,1.83
1117.0,Gijón costera,Costera,NO,86726,3.42
2136.0,Bilbao-Vizcaya,Exterior,N,18006,2.53
2136.0,Bilbao-Vizcaya,Exterior,NE,4145,2.03
2136.0,Bilbao-Vizcaya,Exterior,E,1121,1.92
2136.0,Bilbao-Vizcaya,Exterior,SE,545,1.49
2136.0,Bilbao-Vizcaya,Exterior,S,708,1.83
2136.0,Bilbao-Vizcaya,Exterior,SO,1263,2.08
2136.0,Bilbao-Vizcaya,Exterior,O,20862,4.8
2136.0,Bilbao-Vizcaya,Exterior,NO,113946,4.6
2242.0,Cabo de Peñas,Exterior,N,14292,3.04
2242.0,Cabo de Peñas,Exterior,NE,7542,2.86
2242.0,Cabo de Peñas,Exterior,E,1280,2.58
2242.0,Cabo de Peñas,Exterior,SE,1,0.69
2242.0,Cabo de Peñas,Exterior,S,2,0.9
2242.0,Cabo de Peñas,Exterior,SO,5,2.13
2242.0,Cabo de Peñas,Exterior,O,3340,3.85
2242.0,Cabo de Peñas,Exterior,NO,51791,4.66
